,,All Genders,Male,Female
To Date,,"1,068,934","659,658","409,276"
2026,,"4,002","2,412","1,590"
2025,,"49,065","29,857","19,208"
2024,,"48,150","29,352","18,798"
2023,,"46,634","28,550","18,084"
2022,,"42,889","26,654","16,235"
2021,,"41,356","25,746","15,610"
2020,,"39,036","24,334","14,702"
2019,,"39,719","24,650","15,069"
2018,,"36,530","22,629","13,901"
2017,,"34,770","21,699","13,071"
2016,,"33,610","20,869","12,741"
2015,,"30,974","19,355","11,619"
2014,,"29,540","18,638","10,902"
2013,,"28,956","18,133","10,823"
2012,,"28,059","17,595","10,464"
2011,,"28,553","17,727","10,826"
2010,,"28,668","17,873","10,795"
2009,,"28,463","17,682","10,781"
2008,,"27,967","17,539","10,428"
2007,,"28,366","17,892","10,474"
2006,,"28,941","18,162","10,779"
2005,,"28,119","17,453","10,666"
2004,,"27,042","16,579","10,463"
2003,,"25,475","15,644","9,831"
2002,,"24,916","15,243","9,673"
2001,,"24,243","14,669","9,574"
2000,,"23,274","14,023","9,251"
1999,,"22,030","13,351","8,679"
1998,,"21,526","13,063","8,463"
1997,,"20,316","12,274","8,042"
1996,,"19,765","12,010","7,755"
1995,,"19,396","11,869","7,527"
1994,,"18,299","11,153","7,146"
1993,,"17,631","10,672","6,959"
1992,,"16,134","9,753","6,381"
1991,,"15,756","9,544","6,212"
1990,,"15,001","9,169","5,832"
1989,,"13,140","8,064","5,076"
1988,,"12,623","7,777","4,846"
