,,All Center States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
All Organs,,"108,565","1,222","2,353",386,"19,898","1,477","1,142",149,"1,378","6,141","3,310",344,"4,416","1,438",586,533,"1,010","1,957",235,"2,040","3,980","2,621","2,299",547,"2,151",456,388,253,"2,467",439,"8,015","3,962",119,"2,762",787,"1,221","5,765",464,386,"1,951",396,"2,882","11,281",981,3,"3,309","1,647",176,"1,503"
Kidney,,"94,310","1,001","2,062",333,"17,865","1,275",980,140,"1,120","5,278","2,984",317,"3,825","1,240",527,382,847,"1,714",235,"1,644","3,488","2,318","1,932",494,"1,879",345,387,253,"2,281",435,"6,987","3,671",119,"2,193",647,"1,093","5,007",434,386,"1,697",392,"2,618","9,503",831,3,"2,874","1,331",172,"1,256"
Liver,,"8,875",190,212,25,"1,423",168,135,6,202,526,178,27,220,109,17,125,99,156,0,363,330,117,185,40,138,75,0,0,91,0,540,104,0,226,85,90,461,26,0,125,0,131,"1,361",53,0,271,194,0,125
Pancreas,,814,2,4,0,97,12,2,0,15,26,1,0,77,10,4,0,0,5,0,5,28,23,79,0,0,7,0,0,16,0,132,71,0,25,0,3,55,0,0,17,3,13,29,3,0,36,9,0,13
Kidney / Pancreas,,"2,357",18,43,6,369,10,0,0,22,93,39,4,155,46,25,28,17,67,0,41,45,38,182,11,58,2,20,0,60,6,133,110,0,62,15,22,127,29,0,87,36,51,123,25,0,85,39,0,60
Heart,,"3,974",25,56,26,342,48,36,3,53,288,166,0,206,90,15,21,45,45,0,38,138,120,111,11,73,40,0,0,40,0,359,147,0,294,36,27,166,7,0,78,0,118,422,71,0,125,47,4,75
Lung,,989,9,15,0,114,4,0,0,0,47,9,0,47,3,5,0,17,5,0,23,30,72,26,0,27,4,0,0,2,0,94,12,0,74,16,0,116,0,0,6,0,7,90,8,0,34,53,0,22
Heart / Lung,,24,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,6,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0
Intestine,,162,0,0,0,40,0,0,0,11,13,0,0,10,16,0,0,0,0,0,0,1,2,0,0,0,8,0,0,0,0,13,4,0,15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
VCA - abdominal wall,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - head and neck,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - other genitourinary organ,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - upper limb,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - uterus,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
