,,All Ages,< 1 Year,1-5 Years,6-10 Years,11-17 Years,18-34 Years,35-49 Years,50-64 Years,65 +
All Organs,,"120,462",130,663,518,"1,038","9,991","28,460","49,912","29,750"
Kidney,,"102,962",3,268,267,763,"8,275","24,077","43,121","26,188"
Liver,,"8,998",40,135,62,114,592,"1,782","3,916","2,357"
Pancreas,,825,1,15,14,16,163,402,202,12
Kidney / Pancreas,,"2,466",0,0,0,1,528,"1,320",592,25
Heart,,"4,020",85,215,143,109,357,741,"1,714",656
Lung,,992,0,6,9,9,36,94,331,507
Heart / Lung,,24,0,1,1,2,4,7,8,1
Intestine,,164,1,23,22,24,31,33,27,3
VCA - abdominal wall,,1,0,0,0,0,1,0,0,0
VCA - head and neck,,2,0,0,0,0,1,0,1,0
VCA - other genitourinary organ,,2,0,0,0,0,1,0,0,1
VCA - upper limb,,2,0,0,0,0,0,2,0,0
VCA - uterus,,4,0,0,0,0,2,2,0,0
