,,To Date,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Races/Ethnicities,,"28,091","1,517","1,566","1,447","1,209","1,202","1,164","1,040","1,026",965,908,857,818,796,738,789,715,776,658,680,724,620,620,584,607,549,550,533,528,498,478,440,384,438,363,366,389,295,254
"White, Non-Hispanic",,"18,467",890,872,792,684,701,733,652,619,622,570,510,519,528,478,518,494,529,460,468,509,441,441,419,442,404,430,395,394,378,362,322,291,313,276,298,310,230,173
"Black, Non-Hispanic",,"8,328",496,575,550,449,430,374,320,343,296,293,306,271,238,230,227,189,210,169,182,183,167,162,147,142,133,109,130,121,110,106,105,85,117,81,63,77,62,80
Hispanic/Latino,,754,67,66,55,45,39,26,42,41,31,22,14,17,17,18,30,27,32,20,18,22,8,10,11,15,8,6,3,4,5,3,12,6,6,2,3,2,1,0
Unknown,,24,14,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asian, Non-Hispanic",,324,27,22,28,16,19,19,14,13,7,15,18,7,11,6,9,3,4,7,10,7,3,6,5,7,2,3,5,9,4,6,1,2,2,3,2,0,2,0
"American Indian/Alaska Native, Non-Hispanic",,39,2,5,0,3,1,5,3,2,2,2,2,1,0,3,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
"Pacific Islander, Non-Hispanic",,24,2,2,2,0,0,0,2,0,1,0,1,2,0,1,2,0,1,1,1,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Multiracial, Non-Hispanic",,131,19,16,18,12,12,7,7,8,6,6,6,1,2,2,3,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
