Year,All Recipient Ages,< 1 Year,1-5 Years,6-10 Years,11-17 Years,18-34 Years,35-49 Years,50-64 Years,65,Unknown,All Genders,Male,Female,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
To Date,1068934,10171,18090,10810,27276,139441,282734,418755,161642,15,1068934,659658,409276,1068934,638199,211736,152128,1852,49113,7817,3518,4571
2026,4002,13,33,27,47,349,884,1580,1069,0,4002,2412,1590,4002,1950,890,772,73,233,32,17,35
2025,49065,243,494,302,835,4360,10800,19487,12544,0,49065,29857,19208,49065,24136,10864,9329,872,2890,379,215,380
2024,48150,254,521,311,887,4320,10550,19295,12012,0,48150,29352,18798,48150,23642,10992,9102,632,2815,391,189,387
2023,46634,253,510,344,809,4427,10280,18907,11104,0,46634,28550,18084,46634,23473,10830,8542,77,2792,368,176,376
2022,42889,263,434,263,817,4333,9758,17239,9782,0,42889,26654,16235,42889,21755,9642,8017,1,2702,321,137,314
2021,41356,255,511,288,834,4407,9453,16712,8894,2,41356,25746,15610,41356,21354,9253,7501,1,2467,322,154,304
2020,39036,280,477,274,735,3964,8719,15897,8690,0,39036,24334,14702,39036,20987,8418,6681,0,2237,281,152,280
2019,39719,300,505,347,771,4174,8712,16295,8615,0,39719,24650,15069,39719,21639,8332,6811,0,2222,271,132,312
2018,36530,278,537,331,749,3800,8057,15005,7773,0,36530,22629,13901,36530,20135,7541,6084,0,2085,284,124,277
2017,34770,249,575,292,783,3695,7785,14643,6748,0,34770,21699,13071,34770,19527,7286,5484,0,1889,269,111,204
2016,33610,293,543,302,740,3744,7526,14242,6220,0,33610,20869,12741,33610,18799,7061,5447,1,1738,230,123,211
2015,30974,256,605,332,707,3628,7175,12917,5354,0,30974,19355,11619,30974,17174,6760,4862,0,1650,256,119,153
2014,29540,280,503,284,728,3149,6412,12790,5394,0,29540,18638,10902,29540,17313,5946,4272,1,1542,232,100,134
2013,28956,260,545,295,718,3081,6310,12677,5070,0,28956,18133,10823,28956,17125,5802,4186,0,1439,190,106,108
2012,28059,277,519,281,696,3105,6390,12156,4635,0,28059,17595,10464,28059,16725,5586,3978,4,1400,193,69,104
2011,28553,281,514,273,730,3054,6610,12573,4518,0,28553,17727,10826,28553,16969,5863,3975,8,1343,196,68,131
2010,28668,290,500,300,735,3226,6894,12425,4296,2,28668,17873,10795,28668,17116,5953,3859,5,1310,201,82,142
2009,28463,329,592,315,781,3221,6967,12238,4018,2,28463,17682,10781,28463,17286,5698,3816,2,1266,195,80,120
2008,27967,343,565,304,751,3263,6976,12093,3672,0,27967,17539,10428,27967,17012,5474,3812,3,1267,224,90,85
2007,28366,343,547,273,793,3351,7453,12105,3501,0,28366,17892,10474,28366,17574,5462,3751,0,1235,180,77,87
2006,28941,315,518,274,875,3625,7745,12157,3432,0,28941,18162,10779,28941,18061,5587,3698,1,1181,222,76,115
2005,28119,295,498,307,864,3659,7801,11535,3160,0,28119,17453,10666,28119,17821,5249,3499,0,1148,184,103,115
2004,27042,273,501,270,772,3770,7946,10821,2689,0,27042,16579,10463,27042,17244,4924,3414,1,1081,203,91,84
2003,25475,259,463,290,784,3532,7733,10001,2413,0,25475,15644,9831,25475,16419,4633,3145,2,928,191,103,54
2002,24916,255,477,279,746,3585,7867,9538,2168,1,24916,15243,9673,24916,16374,4370,3004,6,872,165,91,34
2001,24243,269,492,245,726,3707,7779,9151,1874,0,24243,14669,9574,24243,16111,4268,2782,2,820,163,91,6
2000,23274,268,403,284,652,3560,7860,8427,1820,0,23274,14023,9251,23274,15696,3959,2597,0,756,171,89,6
1999,22030,274,409,279,700,3538,7517,7793,1519,1,22030,13351,8679,22030,14983,3784,2309,1,692,184,74,3
1998,21526,290,391,313,661,3604,7383,7414,1469,1,21526,13063,8463,21526,14673,3648,2296,3,674,150,80,2
1997,20316,277,450,275,647,3550,7086,6811,1219,1,20316,12274,8042,20316,14054,3464,1976,2,617,122,81,0
1996,19765,246,416,273,661,3546,7035,6444,1144,0,19765,12010,7755,19765,13749,3364,1887,1,545,155,62,2
1995,19396,225,395,292,697,3677,6917,6177,1014,2,19396,11869,7527,19396,13446,3174,2081,2,498,147,46,2
1994,18299,260,405,260,630,3710,6488,5722,822,2,18299,11153,7146,18299,12732,3140,1696,15,504,157,55,0
1993,17631,235,450,266,583,3805,6103,5441,748,0,17631,10672,6959,17631,12619,2821,1601,20,434,109,27,0
1992,16134,232,390,221,535,3616,5699,4773,667,1,16134,9753,6381,16134,11463,2570,1457,13,483,110,38,0
1991,15756,285,384,262,525,3713,5564,4466,557,0,15756,9544,6212,15756,11433,2462,1311,22,391,101,35,1
1990,15001,241,364,239,552,3691,5316,4137,461,0,15001,9169,5832,15001,10961,2368,1164,43,359,82,22,2
1989,13140,202,342,228,481,3468,4701,3426,292,0,13140,8064,5076,13140,9539,2136,1002,17,325,100,20,1
1988,12623,130,312,215,539,3434,4483,3245,265,0,12623,7777,4846,12623,9130,2162,928,21,283,86,13,0
