,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
All Time,All Races/Ethnicities,,"2,877","2,604",132,14,54,116,10
,"White, Non-Hispanic",,"1,339","1,153",103,9,24,66,9
,"Black, Non-Hispanic",,"1,305","1,233",18,5,25,46,1
,Hispanic/Latino,,124,114,9,0,2,0,0
,Unknown,,6,3,1,0,2,1,0
,"Asian, Non-Hispanic",,54,51,1,0,1,2,0
,"American Indian/Alaska Native, Non-Hispanic",,7,7,0,0,0,0,0
,"Pacific Islander, Non-Hispanic",,3,3,0,0,0,0,0
,"Multiracial, Non-Hispanic",,51,50,0,0,0,1,0
< 30 Days,All Races/Ethnicities,,125,82,18,1,5,17,7
,"White, Non-Hispanic",,62,31,14,1,0,12,6
,"Black, Non-Hispanic",,54,44,2,0,5,5,1
,Hispanic/Latino,,5,4,1,0,0,0,0
,Unknown,,2,1,1,0,0,0,0
,"Multiracial, Non-Hispanic",,2,2,0,0,0,0,0
30 to < 90 Days,All Races/Ethnicities,,264,234,14,2,7,9,1
,"White, Non-Hispanic",,129,111,12,0,3,4,1
,"Black, Non-Hispanic",,111,101,2,2,3,4,0
,Hispanic/Latino,,14,13,0,0,1,0,0
,"Asian, Non-Hispanic",,6,6,0,0,0,0,0
,"Pacific Islander, Non-Hispanic",,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",,4,3,0,0,0,1,0
90 Days to < 6 Months,All Races/Ethnicities,,370,329,15,1,8,23,2
,"White, Non-Hispanic",,179,150,10,1,5,14,2
,"Black, Non-Hispanic",,156,149,2,0,3,7,0
,Hispanic/Latino,,22,19,3,0,0,0,0
,
,"Asian, Non-Hispanic",,6,4,0,0,0,2,0
,"American Indian/Alaska Native, Non-Hispanic",,1,1,0,0,0,0,0
,"Pacific Islander, Non-Hispanic",,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",,5,5,0,0,0,0,0
6 Months to < 1 Year,All Races/Ethnicities,,593,534,24,2,13,33,0
,"White, Non-Hispanic",,264,228,22,1,5,14,0
,"Black, Non-Hispanic",,276,256,1,1,5,18,0
,Hispanic/Latino,,24,23,1,0,1,0,0
,Unknown,,3,1,0,0,2,1,0
,"Asian, Non-Hispanic",,13,13,0,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",,2,2,0,0,0,0,0
,"Multiracial, Non-Hispanic",,11,11,0,0,0,0,0
1 Year to < 2 Years,All Races/Ethnicities,,725,664,36,3,11,23,0
,"White, Non-Hispanic",,319,275,27,3,6,15,0
,"Black, Non-Hispanic",,349,335,6,0,4,8,0
,Hispanic/Latino,,33,30,3,0,0,0,0
,Unknown,,1,1,0,0,0,0,0
,"Asian, Non-Hispanic",,11,10,0,0,1,0,0
,"American Indian/Alaska Native, Non-Hispanic",,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",,12,12,0,0,0,0,0
2 Years to < 3 Years,All Races/Ethnicities,,412,391,6,3,8,6,0
,"White, Non-Hispanic",,194,179,5,2,5,5,0
,"Black, Non-Hispanic",,188,183,0,1,3,1,0
,Hispanic/Latino,,14,13,1,0,0,0,0
,"Asian, Non-Hispanic",,9,9,0,0,0,0,0
,
,"American Indian/Alaska Native, Non-Hispanic",,1,1,0,0,0,0,0
,"Pacific Islander, Non-Hispanic",,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",,5,5,0,0,0,0,0
3 Years to < 5 Years,All Races/Ethnicities,,376,366,9,1,2,3,0
,"White, Non-Hispanic",,170,162,7,0,1,2,0
,"Black, Non-Hispanic",,173,171,1,1,1,1,0
,Hispanic/Latino,,15,15,0,0,0,0,0
,"Asian, Non-Hispanic",,8,8,1,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",,10,10,0,0,0,0,0
5 or More Years,All Races/Ethnicities,,164,151,10,1,2,2,0
,"White, Non-Hispanic",,79,72,6,1,0,0,0
,"Black, Non-Hispanic",,76,70,4,0,2,2,0
,Hispanic/Latino,,3,3,0,0,0,0,0
,"Asian, Non-Hispanic",,3,3,0,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",,2,2,0,0,0,0,0
